"filename", "language", "Python", "JavaScript", "HTML", "JSON", "PowerShell", "MS SQL", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-26-mobile-picker-overlap-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 29, 0, 0, 13, 42
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-26-recensement-dps-gowther-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 42, 0, 0, 15, 57
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-26-roster-favori-copie-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 68, 0, 0, 23, 91
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-26-supabase-realtime-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 68, 0, 0, 26, 94
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-27-mon-suivi-dashboard-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 314, 0, 0, 123, 437
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-28-perle-de-sortilege-passation.md", "Markdown", 0, 0, 0, 0, 0, 0, 99, 0, 0, 30, 129
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-28-stats-builds-lot1-design.md", "Markdown", 0, 0, 0, 0, 0, 0, 648, 0, 0, 176, 824
"c:\Users\yanni\Desktop\Site Confrérie 7ds\docs\superpowers\specs\2026-07-28-stats-builds-passation.md", "Markdown", 0, 0, 0, 0, 0, 0, 255, 0, 0, 75, 330
"c:\Users\yanni\Desktop\Site Confrérie 7ds\generate-armures-liees.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 0, 23, 114
"c:\Users\yanni\Desktop\Site Confrérie 7ds\generate-data.ps1", "PowerShell", 0, 0, 0, 0, 102, 0, 0, 0, 20, 15, 137
"c:\Users\yanni\Desktop\Site Confrérie 7ds\generate-meta.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 9, 7, 56
